token_mint_address,symbol,sol_balance,adjusted_sol_balance
ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,BOME,6328.31943561,6328.31797401
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,LUCE,3976.270596233,3976.2691346330002
7BgBvyjrZX1YKz4oh9mjb8ZScatkkwb8DzFx7LoiVkM3,Old Slerf,3514.906527356,3514.905065756
B6h248NJkAcBAkaCnji889a26tCiGXGN8cxhEJ4dX391,$WATER,2518.00092344,2517.99946184
FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,MELANIA,1887.718642379,1887.7171807789998
HRw8mqK8N3ASKFKJGMJpy4FodwR3GKvCFKPDQNqUNuEP,DJT,1674.459637974,1674.458176374
So11111111111111111111111111111111111111112,WSOL,1515.370760182,1515.3692985819998
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,1349.408539948,1349.407078348
4G86CMxGsMdLETrYnavMFKPhQzKTvDBYGMRAdVtr72nu,$NAP,1290.815407257,1290.813945657
MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb,MAPS,1165.287201628,1165.285740028
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,Bonk,1089.583620238,1089.582158638
5mbK36SZ7J19An8jFochhQS4of8g6BwUjbeCSxBSoWdp,$michi,978.239498617,978.238037017
2miHpQbYLPvXxC2V234jrrrtnJdejd5xW883a5ToNW3g,POGAI,919.87648281,919.87502121
3WKzqdh3ZW3tP2PhAtAuDu4e1XsEzFhk7qnN8mApm3S2,CAT,730.299933517,730.298471917
MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5,MEW,673.938019285,673.936557685
9gwTegFJJErDpWJKjPfLr2g2zrE3nL1v5zpwbtsk3c6P,USEDCAR,605.432463607,605.4310020070001
DdW6ZvjQpETUqNVJxBSFEe5ZWSvrsWaL26AXCtiVCGzC,OWP,600.0014616,600
G411goTeWhDB6QYj5HtEEdHz9tuvfkePMacqK1vXSEY2,ANGI,599.991461603,599.990000003
6MQ8D4XgoLTPGgkz7sbJdFzA6F6iuepFXE2BtV9npump,Tate,568.562387402,568.560925802
BNqRJAtAeaDmsgEE1Dy83q9iWjBePcV1KHAu5avAps3V,GIRLQUANT,560.0014916,560.00003
Bo9jh3wsmcC2AjakLWzNmKJ3SgtZmXEcSaW7L2FAvUsU,LIBRA,550.731009267,550.729547667
2gkevSAUExkSUwwwj6uNbzwwNCXyzEBkGLg4wAyUpump,CWH,538.331873508,538.330411908
6CTPpJgxX5M6Lygok4kXuxReFE4HFmA7t33AbuXiaP88,SORRY,535.931905367,535.930443767
EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,$WIF,529.163431587,529.161969987
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,jellyjelly,527.904160683,527.902699083
8wXtPeU6557ETkp9WHFY1n1EcU6NxDvbAggHGsMYiHsB,GME,502.539962612,502.538501012
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USDC,502.158363543,502.156901943
FqveHfaf96iTjA3KgX1W5LWPnLFYv8EfUf6TQSWPpump,EXO,493.148030666,493.146569066
d4VVNcnhYwenMzJJk7QgZsxVbLQSijPSLB8m7gKMGFM,GANG,484.635054243,484.633592643
4Cnk9EPnW5ixfLZatCPJjDB1PUtcRpVVgTQukm9epump,DADDY,477.54901537,477.54755377
AujTJJ7aMS8LDo3bFzoyXDwT3jBALUbu4VZhzZdTZLmG,$BEER,455.668585803,455.66712420299996
BMwhQ1HXuzA7ucY8NYHyVq2uwuG47GHj1dNP6xJdoPzD,COOL,451.727186222,451.725724622
BUPKYk9hqhjEn4cA7CkjbtRRb893hNoRYc1gp5D6YaCU,HULK,440.528499858,440.52703825799995
CQAjHrpdwSXkMAwwSf6XkKYi92LMXNAwzdvE3exhMKRx,GTA6,434.990359478,434.988897878
25hAyBQfoDhfWx9ay6rarbgvWGwDdNqcHsXS3jQ3mTDJ,MANEKI,422.586325182,422.58486358199997
HhJpBhRRn4g56VsyLuT8DL5Bv31HkXqsrahTTUCZeZg4,$MYRO,419.523592282,419.52213068199995
F7sCT3iKN2TstmuReTk81k97hpbMv6mFAfffKjZxkQxu,solz,398.033529239,398.032067639
9Ttyez3xiruyj6cqaR495hbBkJU6SUWdV6AmQ9MvbyyS,smole,394.652169412,394.65070781199995
GTH3wG3NErjwcf7VGCoXEXkgXSHvYhx5gtATeeM5JAS1,WHALES,391.646254744,391.64479314399995
65TXokSM1uaW1wcjRzKJwtej8Sf3YJKRqRwQtaoowHSU,AI,389.2314616,389.22999999999996
WskzsKqEW3ZsmrhPAevfVZb6PuuLzWov9mJWZsfDePC,PUNDU,369.097133389,369.095671789
HQ7DaoiUxzC2K1Dr7KXRHccNtXvEYgNvoUextXe8dmBh,SLOTH,368.852066339,368.85060473899995
71Jvq4Epe2FCJ7JFSF7jLXdNk1Wy4Bhqd9iL6bEFELvg,GOR,368.735690071,368.734228471
74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,swarms,359.667442519,359.665980919
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,346.543927392,346.542465792
7pskt3A1Zsjhngazam7vHWjWHnfgiRump916Xj7ABAGS,GAS,345.799652618,345.79819101799995
7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,POPCAT,344.854605269,344.85314366899996
8SjKoc2s5cqSW4z6WKwgQiWkdUNnpTso5Jd8BZTNYESd,BOMO,343.097325313,343.09586371299997
BshVPBvgqSZ9UAsgEaLVnSteGqUR7nLfxfXn6URM4MMb,LOOM,330.885275321,330.88381372099997
2fUFhZyd47Mapv9wcfXh5gnQwFXtqcYu9xAN4THBpump,RNT,329.065133766,329.06367216599995
24gG4br5xFBRmxdqpgirtxgcr7BaWoErQfc2uyDp2Qhh,NOS,304.683728526,304.68226692599995
A3eME5CetyZPBoWbRUwY3tSe25S6tb18ba9ZPbWk9eFJ,PENG,296.78190331,296.78044171
